#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# http://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: buildingAtlas.png (912 x 452)
# $TexturePacker:SmartUpdate:3146eb2302d806d9b80ca2521437d8df:6d4cfdeea5791b6369ec8996263d4ea9:905072b72ea92acf8fa5b0216a681f3c$
#

house;0;1;1;128;160;128;160;0.5;0.5
house0;0;131;1;128;160;128;160;0.5;0.5
house1;0;261;1;128;160;128;160;0.5;0.5
house2;0;391;1;128;160;128;160;0.5;0.5
house4;0;521;1;128;160;128;160;0.5;0.5
house5;0;651;1;128;160;128;160;0.5;0.5
house6;0;781;1;128;160;128;160;0.5;0.5
house7;0;1;163;128;160;128;160;0.5;0.5
house8;0;131;163;128;160;128;160;0.5;0.5
largeSelect;0;261;163;256;256;256;256;0.5;0.5
smallSelect;0;519;163;128;128;128;128;0.5;0.5
townhall;0;649;163;256;288;256;288;0.5;0.5
